Date,Item,Prix unitaire,Prix TTC
,Raspberry Pi,$25,$25
,MPU6050,,
,Dongle Wi-Fi,$9.29,$9.29
,Alim,,
2015-03-28,4 * hélice Gemfan 10*4.5 x2,4*4.80,19.20
2015-03-28,LIPO 3S 3200 Black Lithium,52.00,52.00
2015-03-28,4 * Moteur Protronik 2215/1150,29.00,116.00
2015-03-28,4 * Contrôleur 20A A BEC 2A,26.50,106.00
2015-03-28,Chargeur LIPO AP3BLC 2/3S 220-12V,22.00,22.00
2015-03-28,Prise inverse servo x10 fem,3.50,3.50
2015-03-28,Remise spéciale club,-8.70,-8.70
2015-03-28,4 * baguettes bois,2.00,8.00
2015-03-28,1 Male to 4 Female Deans T Plug Connector Power Cable f KK MultiRotor QuadCopter,$5.99,$5.99
